Infinitiv,Praetereritum,Perfekt,Ungarisch
beginnen,begann,hat begonnen,elkezdeni
biegen,bog,hat/ist gebogen,hajlít/kanyarodik
bieten,bot,hat geboten,kínál
bitten,bat,hat gebeten,kérni
bleiben,blieb,ist geblieben,maradni
brechen,brach,hat gebrochen,törni
bringen,brachte,hat gebracht,hozni
denken,dachte,hat gedacht,gondolni
dürfen,durfte,hat gedurft,szabad
essen,ass,hat gegessen,enni
fahren,fuhrt,hat/ist gefahren,utazni
fallen,fiel,ist gefallen,esni
finden,fand,hat gefunden,találni valamilyennek
fliegen,flog,ist geflogen,repülni
geben,gab,hat gegeben,adni
gehen,ging,ist gegangen,menni
gewinnen,gewann,hat gewonnen,nyerni
haben,hatte,hat gehabt,birtokolni
halten,hielt,hat/ist gehalten,tartani
hängen,hing,hat gehangen,lógni
heißen,hieß,hat geheißen,nevezni
helfen,half,hat geholfen,segíteni
kennen,kannte,hat gekannt,ismerni
kommen,kam,ist gekommen,jönni
können,konnte,hat gekonnt,képes rá
küssen,küsste,hat geküsst,csókolni
lassen,liess,hat gelassen,megengedni
laufen,lief,ist gelaufen,futni
lesen,las,hat gelesen,olvasni
liegen,lag,hat gelegen,feküdni
nennen,nannte,hat genannt,elnevezni
rennen,rannte,ist gerannt,rohanni
wissen,wisste,hat gewusst,tudni
mögen,mochte,hat gemocht,kedvelni
müssen,musste,hat gemusst,muszáj
nehmen,nahm,hat genommen,alkalmazni
raten,riet,hat geraten,tanácsolni
reiten, ritt, hat/ist geritten,lovagolni
rufen, rief, hat gerufen,hívni
scheinen,schien,hat geschienen,tűnni
schlafen,schlief,hat geschlafen,aludni
schlagen,schlug,hat geschlagen,ütni
schreiben,schrieb,hat geschrieben,írni
schwimmen,schwamm,hat/ist geschwommen,úszni
sehen,sah,hat gesehen,látni
sein,war,ist gewesen,lenni
singen,sang,hat gesungen,énekelni
sitzen,sass,hat gesessen,ülni
sollen,sollte,hat gesollt,kell
sprechen,sprach,hat gesprochen,beszélni
stehen,stand,hat gestanden,állni
sterben,starb,ist gestorben,meghalni
tragen,trug,hat getragen,hordani
treffen,traf,hat getroffen,találkozni
trinken,trank,hat getrunken,inni
tun,tat,hat getan,tenni
vergessen,vergan,hat vergessen,elfelejteni
verlieren,verlor,hat verloren,elveszíteni
waschen,wusch,hat gewaschen,mosni
werden,wurde,ist geworden,válni valamivé
wissen,wisste,hat gewusst,tudni
wolllen,wollte,hat gewollt,akarni
ziehen,zog,hat/ist gezogen,elköltözni
